01141025213031424247044100002566 281202308093.174500
01221031213035404744057200002566 281202308104.202955
01141025213031424247044102002566 281202308196.012533
01141025253031474742044100002166 8 1202308093.181423
01141025253031474742044102002166 8 1202308196.170731
01111025203736404241014410001237 8 1202308126.033346
01141025213037474241044010001156 8 1202308126.050708
01151022263531244742004410001256 8 1202308126.134732
01151022263531244742064710001256 8 1202308137.054757
01171022273037404241054010001556 8 1202308126.143220
01171022273037444241054010001556 8 1202308126.143325
01171022273037464241054010001556 8 1202308126.143351
01271020273637474241054010001556 8 1202308126.143407
01221005273537414242054110001556 8 1202308126.205851
01221001273737414242054110001556 8 1202308126.205900
01151020273637474241054610001556 8 1202308137.222439
01151021273637474241054610001556 8 1202308137.222444
01151022273637474241054610001556 8 1202308137.222449
01151023273637474241054610001556 8 1202308137.222454
01151025273637474241054610001556 8 1202308137.222500
01141020273035414241074710001556 8 1202308141.052643
01221006273737454242054111001556 8 1202308185.012637
01141025213637424241044010001657 8 1202308126.152722
01271030263137444242024011001657 8 1202308174.180351
01111025203736404241014410001037 8 1202308126.164351
01111025203736404241014410001537 8 1202308126.182240
01151022263330454242074110001057 8 1202308126.210526
01151022263731244242044210001057 8 1202308137.024105
01151021273036404241024110001656 8 1202308126.210916
01271030213137404242004510001656 8 1202308137.155046
01151022263637454241054710001656 8 1202308141.050804
01251030273136404242044611001656 8 1202308196.023227
01271030213137454242014711001656 8 1202308196.082332
01271030213137454242054711001656 8 1202308196.085433
01711052263036414742074710001227 8 1202308137.004846
01771051263437274144072710001127 8 1202308137.092735
01771051263437274144072711001127 8 1202308185.055602
01151025273635404241054610001557 8 1202308141.012933
01271030213136464242074411001056 8 1202308185.083530
01241025273631464241044012001056 8 1202308222.071242
